external_id,name,city,state,country_code,postal_code,latitude,longitude,source_name,source_url,source_type,claim_status,data_verification_status,last_reviewed_at,is_fictional_demo
maine-sabattus-disc-golf,Sabattus Disc Golf,Sabattus,ME,US,04280,44.1192,-70.1042,Sabattus Disc Golf,https://sabattusdiscgolf.com/pages/contact-sabattus-disc-golf,COURSE_OWNER,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-pineland-farms,Pineland Farms Disc Golf,New Gloucester,ME,US,04260,43.9048,-70.2577,Pineland Farms,https://pinelandfarms.org/recreation/summer/disc-golf/,COURSE_OWNER,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-pleasant-hill,Pleasant Hill Disc Golf,Scarborough,ME,US,04074,43.5848,-70.3446,Pleasant Hill Disc Golf,https://philldiscgolf.com/,COURSE_OWNER,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-ackers-acres,Acker's Acres,Bowdoinham,ME,US,04008,44.0176,-69.8992,PDGA Course Directory,https://www.pdga.com/course-directory/course/ackers-acres-wicked,PDGA_DIRECTORY,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-devils-grove,Devil's Grove Disc Golf,Lewiston,ME,US,04240,44.0815,-70.1291,Devil's Grove Disc Golf,https://devilsgrovediscgolf.com/,COURSE_OWNER,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-beaver-brook,Beaver Brook Disc Golf Course,North Monmouth,ME,US,04265,44.2910,-70.0731,PDGA Course Directory,https://www.pdga.com/course-directory/course/beaver-brook-disc-golf-course,PDGA_DIRECTORY,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-emcc,EMCC Disc Golf Course,Bangor,ME,US,04401,44.8298,-68.7442,Eastern Maine Community College,https://www.emcc.edu/student-life/life-at-emcc/disc-golf/,PUBLIC_AGENCY,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
maine-augusta-disc-golf,Augusta Disc Golf,Augusta,ME,US,04330,44.3106,-69.7795,PDGA Course Directory,https://www.pdga.com/course-directory?title=Augusta&field_course_location_locality=Augusta&field_course_location_administrative_area=ME,PDGA_DIRECTORY,UNCLAIMED,REVIEWED_SOURCE_ONLY,2026-08-03T12:00:00.000Z,false
